time,compression0,compression1,compression2,compression3,accel_x,accel_y,accel_z
2.232,308,3147,1067,1652,-0.7454833984375,0.0360107421875,-0.159912109375
2.240,308,3147,1069,1820,-0.7166748046875,-0.0599365234375,-0.1546630859375
2.254,308,3147,1101,1989,-0.7166748046875,-0.0599365234375,-0.1546630859375
2.273,310,3147,1067,2330,-0.702880859375,-0.1568603515625,-0.1097412109375
2.274,313,3147,990,2587,-0.69482421875,-0.02099609375,-0.060546875
2.295,308,3147,951,2820,-0.69482421875,-0.02099609375,-0.060546875
2.295,306,3147,874,3147,-0.372314453125,0.3912353515625,0.0782470703125
2.301,306,3147,912,3147,-0.0494384765625,0.3585205078125,0.183837890625
2.308,308,3147,1003,3147,-0.0494384765625,0.3585205078125,0.183837890625
2.322,310,3147,1305,3147,0.2685546875,-0.023681640625,-0.03466796875
2.333,313,3147,1411,3147,-0.2857666015625,0.3094482421875,-0.3779296875
2.340,314,3147,1492,3147,-0.2857666015625,0.3094482421875,-0.3779296875
2.357,318,3147,1622,3147,-1.7049560546875,1.290283203125,-0.9525146484375
2.361,322,3147,1733,3147,-1.7049560546875,1.290283203125,-0.9525146484375
2.386,321,3147,1796,3147,-2.154296875,1.181884765625,-0.9083251953125
2.386,323,3147,1801,3147,-2.7596435546875,-0.6611328125,-0.43603515625
2.393,321,3147,1808,3147,-2.7596435546875,-0.6611328125,-0.43603515625
2.402,321,3147,1781,3147,-2.741943359375,-1.2540283203125,-0.0771484375
2.414,318,3147,1659,3147,-1.02734375,-0.29638671875,0.4818115234375
2.421,321,3147,1681,3147,-1.02734375,-0.29638671875,0.4818115234375
2.429,318,3147,1715,3147,-0.4344482421875,0.6158447265625,-0.060791015625
2.443,321,3147,1757,3147,-1.46826171875,0.9578857421875,-0.9852294921875
2.461,321,3147,1781,3147,-1.46826171875,0.9578857421875,-0.9852294921875
2.461,317,3147,1770,3147,-1.7757568359375,0.393310546875,-0.7685546875
2.494,318,3147,1757,3147,-1.358642578125,-0.0643310546875,-0.1246337890625
2.495,318,3147,1757,3147,-1.358642578125,-0.0643310546875,-0.1246337890625
2.495,318,3147,1744,3147,-1.2606201171875,0.0626220703125,-0.1146240234375
2.503,317,3147,1681,3147,-1.2318115234375,0.3011474609375,-0.27783203125
2.519,318,3147,1635,3147,-1.2318115234375,0.3011474609375,-0.27783203125
2.520,300,3147,1613,3147,-1.1292724609375,0.330322265625,-0.253662109375
2.533,316,3147,1537,3147,-0.7513427734375,-0.019287109375,-0.1041259765625
2.541,316,3147,1499,3147,-0.7513427734375,-0.019287109375,-0.1041259765625
2.549,316,3147,1428,3147,-0.6163330078125,-0.1259765625,-0.021484375
2.563,313,3147,1395,2737,-0.5576171875,-0.168701171875,0.01904296875
2.570,315,3147,1380,2347,-0.58740234375,-0.1715087890625,0.0733642578125
2.588,315,3147,1357,1949,-0.6605224609375,-0.1129150390625,0.11279296875
2.593,314,3147,1224,1173,-0.7008056640625,-0.0423583984375,0.0341796875
2.607,315,3147,1173,813,-0.69140625,-0.01171875,-0.160400390625
2.609,308,3147,1056,470,-0.6552734375,0.0260009765625,-0.3446044921875
2.627,315,2430,996,338,-0.6302490234375,0.1163330078125,-0.4127197265625
2.630,310,2113,944,345,-0.6483154296875,0.22265625,-0.3880615234375
2.638,308,1848,946,336,-0.7039794921875,0.284912109375,-0.3388671875
2.653,308,1509,936,329,-0.748291015625,0.288330078125,-0.28564453125
2.664,308,1550,951,332,-0.7720947265625,0.2655029296875,-0.2496337890625
2.670,310,1611,944,330,-0.7987060546875,0.238525390625,-0.2552490234375
2.702,308,2008,986,336,-0.7991943359375,0.2081298828125,-0.2874755859375
2.703,296,2260,1014,342,-0.7781982421875,0.16650390625,-0.305908203125
2.703,308,2490,1025,338,-0.7747802734375,0.122802734375,-0.2840576171875
2.716,307,2879,1057,344,-0.7950439453125,0.10498046875,-0.2325439453125
2.721,310,3051,1092,347,-0.82275390625,0.122314453125,-0.182373046875
2.729,309,3147,1109,354,-0.834228515625,0.1436767578125,-0.1605224609375
2.742,310,3147,1157,660,-0.8216552734375,0.132080078125,-0.16455078125
2.751,312,3147,1163,873,-0.794921875,0.0933837890625,-0.173095703125
2.767,310,3147,1183,1091,-0.7618408203125,0.0528564453125,-0.1871337890625
2.773,313,3147,1191,1443,-0.7381591796875,0.028076171875,-0.2080078125
2.784,312,3147,1162,1669,-0.7310791015625,0.0281982421875,-0.1962890625
2.808,312,3147,1108,1954,-0.7110595703125,0.0616455078125,-0.1314697265625
2.809,307,3147,938,2473,-0.626220703125,0.1436767578125,-0.043701171875
2.812,304,3147,898,2785,-0.443603515625,0.199462890625,0.0240478515625
2.820,306,3147,865,3003,-0.1767578125,0.116943359375,0.0535888671875
2.834,305,3147,947,3147,0.0775146484375,0.003662109375,0.080078125
2.844,308,3147,1018,3147,0.1358642578125,0.0782470703125,0.1075439453125
2.853,310,3147,1160,3147,-0.1324462890625,0.28857421875,0.086181640625
2.869,313,3147,1343,3147,-0.65478515625,0.3536376953125,-0.0093994140625
2.871,313,3147,1404,3147,-1.2313232421875,0.23681640625,-0.1939697265625
2.880,316,3147,1529,3147,-1.718994140625,0.264404296875,-0.5069580078125
2.907,316,3147,1662,3147,-2.1058349609375,0.52392578125,-0.8482666015625
2.907,316,3147,1678,3147,-2.4351806640625,0.5062255859375,-1.027099609375
2.912,316,3147,1600,3147,-2.708984375,0.0396728515625,-0.94091796875
2.925,315,3147,1545,3147,-2.684326171875,-0.4517822265625,-0.4635009765625
2.932,315,3147,1490,3147,-1.95263671875,-0.5535888671875,0.211181640625
2.940,315,3147,1492,3147,-0.9267578125,-0.0013427734375,0.3985595703125
2.954,316,3147,1569,3147,-0.604736328125,0.7706298828125,-0.11962890625
2.974,316,3147,1610,3147,-1.12890625,0.99951171875,-0.6976318359375
2.974,316,3147,1624,3147,-1.73486328125,0.5770263671875,-0.826904296875
2.984,316,3147,1595,3147,-1.85546875,0.07177734375,-0.619140625
3.012,317,3147,1591,3147,-1.6195068359375,-0.0225830078125,-0.3876953125
3.012,316,3147,1557,3147,-1.3621826171875,0.147705078125,-0.2877197265625
3.014,313,3147,1527,3147,-1.2003173828125,0.2435302734375,-0.2430419921875
3.023,315,3147,1494,3147,-1.1031494140625,0.2110595703125,-0.1629638671875
3.030,315,3147,1469,3147,-1.031982421875,0.1600341796875,-0.0562744140625
3.044,313,3147,1358,3147,-0.9442138671875,0.09619140625,0.03564453125
3.052,316,3147,1294,3139,-0.8101806640625,-0.0421142578125,0.0947265625
3.060,313,3147,1216,2795,-0.635498046875,-0.205078125,0.1046142578125
3.079,313,3147,1224,2266,-0.517822265625,-0.27490234375,0.0953369140625
3.083,310,3147,1261,1865,-0.5189208984375,-0.2191162109375,0.10693359375
3.101,315,3147,1217,1429,-0.568359375,-0.0849609375,0.0853271484375
3.105,310,3147,1063,562,-0.568359375,0.0418701171875,-0.035400390625
3.120,315,3134,1054,356,-0.510986328125,0.112548828125,-0.2314453125
3.120,306,2797,963,351,-0.48388671875,0.1844482421875,-0.390869140625
3.134,306,2190,883,346,-0.5501708984375,0.288330078125,-0.43798828125
3.144,308,1709,816,342,-0.6624755859375,0.344482421875,-0.404296875
3.150,308,1613,832,334,-0.738525390625,0.2703857421875,-0.345947265625
3.163,306,1496,827,336,-0.769775390625,0.13671875,-0.2972412109375
3.177,306,1577,840,342,-0.803955078125,0.0784912109375,-0.2833251953125
3.181,306,1803,869,338,-0.8443603515625,0.1275634765625,-0.3013916015625
3.202,306,2019,905,342,-0.8594970703125,0.2138671875,-0.3226318359375
3.203,306,2129,906,347,-0.860107421875,0.2392578125,-0.3218994140625
3.211,308,2244,933,351,-0.8663330078125,0.19287109375,-0.294921875
3.224,304,2534,963,359,-0.8785400390625,0.143798828125,-0.2501220703125
3.233,308,2697,1004,363,-0.8807373046875,0.1214599609375,-0.2105712890625
3.240,308,2850,1037,373,-0.8541259765625,0.09033203125,-0.195556640625
3.253,308,3115,1091,376,-0.8062744140625,0.0380859375,-0.1917724609375
3.263,308,3147,1101,433,-0.7489013671875,-0.0242919921875,-0.1845703125
3.280,308,3147,1050,578,-0.693359375,-0.100341796875,-0.1766357421875
3.284,308,3147,978,840,-0.6800537109375,-0.1746826171875,-0.1702880859375
3.315,308,3147,925,1026,-0.722412109375,-0.2047119140625,-0.158203125
3.315,306,3147,859,1185,-0.783447265625,-0.1512451171875,-0.1414794921875
3.315,307,3147,957,1634,-0.7890625,0.0054931640625,-0.1268310546875
3.323,300,3147,959,1892,-0.6290283203125,0.23193359375,-0.1099853515625
3.330,306,3147,968,2110,-0.28076171875,0.3851318359375,-0.087158203125
3.344,306,3147,947,2404,0.0914306640625,0.3690185546875,-0.020751953125
3.353,307,3147,1005,2612,0.2354736328125,0.3074951171875,0.106201171875
3.360,308,3147,1034,2898,0.009765625,0.3819580078125,0.149658203125
3.381,311,3147,1236,3147,-0.5067138671875,0.60302734375,-0.08544921875
3.384,311,3147,1294,3147,-1.0845947265625,0.89306640625,-0.57958984375
3.390,308,3147,1326,3147,-1.0845947265625,0.89306640625,-0.57958984375
3.420,316,3147,1677,3147,-1.739990234375,0.976318359375,-1.1864013671875
3.420,318,3147,1742,3147,-1.98095703125,0.4404296875,-0.85986328125
3.420,321,3147,1697,3147,-1.98095703125,0.4404296875,-0.85986328125
3.437,318,3147,1733,3147,-2.68359375,-0.7255859375,-0.2227783203125
3.442,318,3147,1700,3147,-2.46875,-0.9432373046875,0.2703857421875
3.450,318,3147,1625,3147,-2.46875,-0.9432373046875,0.2703857421875
3.463,316,3147,1629,3147,-0.8228759765625,0.1396484375,0.1895751953125
3.473,316,3147,1686,3147,-0.7625732421875,0.8607177734375,-0.6285400390625
3.482,316,3147,1695,3147,-0.7625732421875,0.8607177734375,-0.6285400390625
3.494,318,3147,1702,3147,-1.7906494140625,0.5960693359375,-0.9993896484375
3.502,316,3147,1709,3147,-1.7471923828125,0.1514892578125,-0.5926513671875
3.531,316,3147,1727,3147,-1.7471923828125,0.1514892578125,-0.5926513671875
3.531,318,3147,1716,3147,-1.1795654296875,0.142822265625,-0.1873779296875
3.532,318,3147,1683,3147,-1.066650390625,0.1865234375,-0.1549072265625
3.545,317,3147,1646,3147,-1.066650390625,0.1865234375,-0.1549072265625
3.554,316,3147,1615,3147,-0.93310546875,0.0848388671875,-0.036865234375
3.562,316,3147,1610,3147,-0.827392578125,-0.0238037109375,-0.04443359375
3.570,315,3147,1580,2973,-0.827392578125,-0.0238037109375,-0.04443359375
3.584,315,3147,1469,2463,-0.563720703125,-0.1099853515625,-0.0762939453125
3.593,314,3147,1488,2204,-0.563720703125,-0.1099853515625,-0.0762939453125
3.600,315,3147,1433,1892,-0.5218505859375,-0.1121826171875,0.0111083984375
3.622,314,3147,1317,1223,-0.6146240234375,0.1015625,0.0008544921875
3.622,316,3147,1241,738,-0.6146240234375,0.1015625,0.0008544921875
3.630,315,3147,1134,359,-0.625,0.200927734375,-0.177001953125
3.651,310,2576,1071,346,-0.6544189453125,0.2568359375,-0.4237060546875
3.652,310,2266,987,351,-0.6544189453125,0.2568359375,-0.4237060546875
3.660,308,1970,923,345,-0.7064208984375,0.2652587890625,-0.42431640625
3.673,310,1659,895,332,-0.740966796875,0.063720703125,-0.3536376953125
3.689,306,1588,895,334,-0.740966796875,0.063720703125,-0.3536376953125
3.690,306,1540,858,328,-0.734619140625,-0.0250244140625,-0.3033447265625
3.704,307,1488,864,333,-0.8070068359375,0.087890625,-0.2586669921875
3.718,308,1509,927,334,-0.8070068359375,0.087890625,-0.2586669921875
3.727,308,1718,977,336,-0.8428955078125,0.1767578125,-0.270263671875
3.733,308,1952,1005,343,-0.8521728515625,0.2730712890625,-0.2869873046875
3.742,310,2089,1050,346,-0.8521728515625,0.2730712890625,-0.2869873046875
3.755,310,2245,1081,346,-0.8502197265625,0.252685546875,-0.2843017578125
3.770,309,2541,1123,348,-0.828125,0.1478271484375,-0.2579345703125
3.773,310,2759,1064,347,-0.828125,0.1478271484375,-0.2579345703125
3.780,313,2940,1083,354,-0.7879638671875,0.107177734375,-0.2269287109375
3.794,316,3147,1172,419,-0.689208984375,0.0494384765625,-0.1654052734375
3.820,310,3147,1026,658,-0.689208984375,0.0494384765625,-0.1654052734375
3.820,290,3147,922,898,-0.6666259765625,0.02734375,-0.1632080078125
3.826,306,3147,861,1390,-0.635986328125,0.0052490234375,-0.1741943359375
3.833,306,3147,944,1681,-0.546875,-0.0125732421875,-0.1627197265625
3.840,305,3147,933,1929,-0.415283203125,-0.055908203125,-0.1383056640625
3.854,304,3147,879,2258,-0.2686767578125,-0.0650634765625,-0.093505859375
3.872,304,3147,902,2477,-0.0845947265625,0.0189208984375,-0.037841796875
3.873,305,3147,909,2715,0.0145263671875,0.1351318359375,-0.003662109375
3.883,306,3147,944,3147,-0.1329345703125,0.3154296875,-0.0230712890625
3.892,306,3147,1129,3147,-0.5133056640625,0.57275390625,-0.137939453125
3.900,308,3147,1282,3147,-0.9991455078125,0.7144775390625,-0.31298828125
3.931,315,3147,1494,3147,-1.4273681640625,0.560302734375,-0.56396484375
3.931,315,3147,1607,3147,-1.7696533203125,0.277099609375,-0.863525390625
3.931,315,3147,1675,3147,-2.099853515625,0.1761474609375,-0.9874267578125
3.944,316,3147,1607,3147,-2.3936767578125,0.16748046875,-0.8548583984375
3.954,315,3147,1662,3147,-2.560546875,-0.0284423828125,-0.4854736328125
3.960,316,3147,1687,3147,-2.29638671875,-0.3919677734375,0.1915283203125
3.979,313,3147,1627,3147,-1.504638671875,-0.4036865234375,0.6641845703125
3.984,315,3147,1611,3147,-0.7650146484375,0.18603515625,0.251953125
3.996,315,3147,1669,3147,-0.6279296875,0.787109375,-0.5911865234375
4.004,316,3147,1708,3147,-1.0391845703125,0.937744140625,-1.103759765625
4.023,316,3147,1732,3147,-1.54248046875,0.674072265625,-1.1622314453125
4.023,317,3147,1730,3147,-1.75390625,0.239990234375,-0.8861083984375
4.034,317,3147,1735,3147,-1.6180419921875,0.0048828125,-0.5081787109375
4.042,317,3147,1732,3147,-1.37451171875,0.0860595703125,-0.277099609375
4.050,318,3147,1733,3147,-1.2518310546875,0.262451171875,-0.228271484375
4.064,318,3147,1715,3147,-1.2178955078125,0.3316650390625,-0.234375
4.076,316,3147,1697,3147,-1.1572265625,0.2662353515625,-0.1810302734375
4.080,316,3147,1694,3147,-1.041015625,0.123046875,-0.056640625
4.101,316,3147,1681,3069,-0.8916015625,-0.0673828125,0.0845947265625
4.103,316,3147,1588,2673,-0.7159423828125,-0.256103515625,0.1451416015625
4.136,316,3147,1574,2372,-0.56298828125,-0.3353271484375,0.111083984375
4.136,299,3147,1575,1750,-0.5223388671875,-0.2374267578125,0.0985107421875
4.137,313,3147,1453,1395,-0.5670166015625,-0.0506591796875,0.11572265625
4.140,314,3147,1363,999,-0.5921630859375,0.0908203125,0.041748046875
4.153,313,3147,1162,360,-0.568115234375,0.14501953125,-0.1558837890625
4.162,313,3031,1050,348,-0.5517578125,0.1851806640625,-0.3782958984375
4.170,309,2739,1010,347,-0.5823974609375,0.270263671875,-0.505126953125
4.184,310,2341,933,342,-0.65576171875,0.325927734375,-0.49560546875
4.202,309,2113,920,346,-0.729736328125,0.282958984375,-0.4281005859375
4.202,308,1960,963,338,-0.7525634765625,0.1826171875,-0.389892578125
4.231,308,1850,963,330,-0.74609375,0.126953125,-0.3819580078125
4.231,309,1748,929,334,-0.7432861328125,0.15673828125,-0.3714599609375
4.231,293,1846,939,336,-0.7464599609375,0.2196044921875,-0.3448486328125
4.244,309,2098,1012,338,-0.7587890625,0.2532958984375,-0.3133544921875
4.252,310,2231,1071,347,-0.7803955078125,0.23828125,-0.2874755859375
4.260,310,2392,1116,347,-0.8104248046875,0.198974609375,-0.2679443359375
4.273,313,2627,1133,348,-0.84814453125,0.177001953125,-0.260986328125
4.292,309,2785,1163,352,-0.87255859375,0.1822509765625,-0.2694091796875
4.292,299,2944,1209,352,-0.8585205078125,0.1785888671875,-0.2760009765625
4.304,312,3147,1242,354,-0.8175048828125,0.1414794921875,-0.26171875
4.335,310,3147,1267,473,-0.7730712890625,0.0955810546875,-0.23291015625
4.338,313,3147,1330,607,-0.7412109375,0.075439453125,-0.2117919921875
4.338,313,3147,1383,963,-0.73583984375,0.0914306640625,-0.201904296875
4.342,313,3147,1453,1097,-0.749267578125,0.1326904296875,-0.1883544921875
4.350,313,3147,1467,1292,-0.7451171875,0.166748046875,-0.155517578125
