time,p0,p1,p2,p3
17:29:44.552000,0.0,0.0,308.0,308.0
17:29:44.566000,0.0,0.0,307.0,308.0
17:29:44.574000,0.0,0.0,307.0,306.0
17:29:44.582000,0.0,0.0,308.0,308.0
17:29:44.596000,0.0,0.0,306.0,308.0
17:29:44.604000,0.0,0.0,307.0,310.0
17:29:44.612000,0.0,0.0,308.0,308.0
17:29:44.626000,0.0,0.0,307.0,308.0
17:29:44.642000,0.0,0.0,306.0,308.0
17:29:44.656000,0.0,0.0,308.0,308.0
17:29:44.664000,0.0,0.0,308.0,308.0
17:29:44.672000,0.0,0.0,307.0,308.0
17:29:44.686000,0.0,0.0,308.0,308.0
17:29:44.694000,0.0,0.0,308.0,310.0
17:29:44.702000,0.0,0.0,307.0,308.0
17:29:44.716000,0.0,0.0,310.0,308.0
17:29:44.724000,0.0,0.0,308.0,309.0
17:29:44.732000,0.0,0.0,308.0,308.0
17:29:44.746000,0.0,0.0,308.0,307.0
17:29:44.754000,0.0,0.0,307.0,310.0
17:29:44.762000,0.0,0.0,307.0,308.0
17:29:44.776000,0.0,0.0,310.0,310.0
17:29:44.784000,0.0,0.0,308.0,307.0
17:29:44.792000,0.0,0.0,308.0,308.0
17:29:44.806000,0.0,0.0,309.0,309.0
17:29:44.814000,0.0,0.0,308.0,308.0
17:29:44.822000,0.0,0.0,308.0,308.0
17:29:44.836000,0.0,0.0,306.0,308.0
17:29:44.844000,0.0,0.0,308.0,310.0
17:29:44.852000,0.0,0.0,308.0,295.0
17:29:44.866000,0.0,0.0,308.0,310.0
17:29:44.874000,0.0,0.0,307.0,308.0
17:29:44.882000,0.0,0.0,306.0,308.0
17:29:44.896000,0.0,0.0,308.0,308.0
17:29:44.904000,0.0,0.0,307.0,308.0
17:29:44.912000,0.0,0.0,307.0,308.0
17:29:44.926000,0.0,0.0,309.0,308.0
17:29:44.934000,0.0,0.0,307.0,308.0
17:29:44.942000,0.0,0.0,308.0,308.0
17:29:44.956000,0.0,0.0,308.0,308.0
17:29:44.964000,0.0,0.0,307.0,308.0
17:29:44.972000,0.0,0.0,307.0,308.0
17:29:44.986000,0.0,0.0,308.0,308.0
17:29:44.994000,0.0,0.0,307.0,310.0
17:29:45.002000,0.0,0.0,308.0,308.0
17:29:45.016000,0.0,0.0,308.0,308.0
17:29:45.024000,0.0,0.0,305.0,308.0
17:29:45.032000,0.0,0.0,308.0,308.0
17:29:45.046000,0.0,0.0,307.0,306.0
17:29:45.054000,0.0,0.0,310.0,308.0
17:29:45.062000,0.0,0.0,309.0,308.0
17:29:45.076000,0.0,0.0,309.0,307.0
17:29:45.084000,0.0,0.0,306.0,308.0
17:29:45.092000,0.0,0.0,307.0,307.0
17:29:45.106000,0.0,0.0,308.0,310.0
17:29:45.114000,0.0,0.0,308.0,308.0
17:29:45.122000,0.0,0.0,306.0,308.0
17:29:45.136000,0.0,0.0,308.0,308.0
17:29:45.144000,0.0,0.0,307.0,310.0
17:29:45.152000,0.0,0.0,307.0,308.0
17:29:45.166000,0.0,0.0,310.0,309.0
17:29:45.174000,0.0,0.0,306.0,308.0
17:29:45.182000,0.0,0.0,306.0,308.0
17:29:45.196000,0.0,0.0,308.0,308.0
17:29:45.204000,0.0,0.0,306.0,310.0
17:29:45.212000,0.0,0.0,306.0,308.0
17:29:45.226000,0.0,0.0,309.0,308.0
17:29:45.234000,0.0,0.0,306.0,308.0
17:29:45.242000,0.0,0.0,306.0,307.0
17:29:45.256000,0.0,0.0,306.0,309.0
17:29:45.264000,0.0,0.0,307.0,308.0
17:29:45.272000,0.0,0.0,308.0,308.0
17:29:45.286000,0.0,0.0,308.0,308.0
17:29:45.294000,0.0,0.0,306.0,310.0
17:29:45.302000,0.0,0.0,308.0,308.0
17:29:45.316000,0.0,0.0,308.0,308.0
17:29:45.324000,0.0,0.0,307.0,308.0
17:29:45.332000,0.0,0.0,306.0,308.0
17:29:45.346000,0.0,0.0,307.0,308.0
17:29:45.354000,0.0,0.0,309.0,308.0
17:29:45.362000,0.0,0.0,308.0,308.0
17:29:45.376000,0.0,0.0,307.0,308.0
17:29:45.384000,0.0,0.0,308.0,306.0
